사업장명,소재지전체주소,소재지우편번호,소재지전화번호,경도,위도
일곡동물병원,광주광역시 북구 일곡동 843-5번지,,571-9114,126.897175625399,35.2031711643764
우리동물병원,광주광역시 북구 임동 5-16번지,,,126.903347871882,35.1615595660437
참좋은 동물병원,광주광역시 북구 양산동 254-123,,062-574-7975,126.873452720131,35.2080946854455
김앤강 동물병원,광주광역시 북구 오치동 1028-27,,224-7582,126.915557779424,35.1870889974579
빛고을 동물의료센터,광주광역시 북구 우산동 609-3,,062-419-7582,126.920617149798,35.1791051440302
24시 언제나 동물병원,광주광역시 북구 매곡동 370-7번지,,062-571-0011,126.890425161121,35.1878863959721
말바우동물병원,광주광역시 북구 우산동 232-10번지,,262-5535,126.922564628882,35.1713067814852
유동물병원,광주광역시 북구 신안동 479-36,,526-3575,126.902512340036,35.1693225667963
이든동물병원,광주광역시 북구 삼각동 780-1,,062-576-7585,126.898935594636,35.2013422688121
소담동물병원,광주광역시 북구 지야동 802-35번지,,062-574-8276,126.886852240317,35.2307792489206
광주동물보호소 부속동물병원,광주광역시 북구 본촌동 378-6 동물보호소,,062-571-2808,126.88143944861,35.2224940056044
경북대학교 수의과대학 부속동물병원,대구광역시 북구 산격동 1370-1 경북대학교 수의과대학,,053-950-6898,128.610465321672,35.8915837944428
대구축협동물병원,대구광역시 북구 검단동 700-2,,053-384-9907,128.623074856916,35.9157648248598
강동물병원,대구광역시 북구 관음동 1383-14,,325-7579,128.549266066596,35.9388440051441
다온동물병원,대구광역시 북구 태전동 1113,,053-312-7975,128.548059012262,35.9129699641921
신한동물병원,대구광역시 북구 칠성동2가 2-2,,053-352-1998,128.587593864132,35.885461972215
동명동물병원,대구광역시 북구 읍내동 781-1,,322-0041,128.550424923598,35.9431432433285
굿모닝동물병원,대구광역시 북구 동천동 932-4,,324-0116,128.557174529469,35.9369737087656
가나동물병원,대구광역시 북구 산격동 1216-4,,954-3395,128.60805716173,35.8994826398695
늘푸른종합동물병원,대구광역시 북구 관음동 1386-7,,053-322-9075,128.54892140396,35.9377687984592
도그플러스 동물병원(미유펫 대구점),대구광역시 북구 동천동 668-1 13통5반 칠곡홈플러스 301호,,053-314-0075,undefined,undefined
순풍동물병원,대구광역시 북구 태전동 1195,,053-326-2557,128.550902175832,35.9212712673892
다움동물병원,서울특별시 영등포구 신길동 324-49 영민빌딩 1층,,02-831-0075,126.906320089078,37.5057812466529
남지가축병원,경상남도 창녕군 남지읍 남지리 534-11 2통2반,,,128.481497785258,35.3900652218391
창녕축협동물병원,경상남도 창녕군 창녕읍 하리 421-1,,055-533-8292,128.483599940946,35.5636705128918
미래동물병원,경상남도 창녕군 영산면 동리 134-26,,,128.529026060151,35.4537249955492
광진동물병원,경상남도 창녕군 창녕읍 말흘리 747-11번지,,055-532-0636,128.500824328306,35.5327620272468
김수의과병원&lt;산업동물출장진료전문병원&gt;,경상남도 창녕군 영산면 서리 216-9번지,,055-521-0438,128.525364042483,35.457486932226
남창가축병원,경상남도 창녕군 창녕읍 술정리 294-7,,,128.493098180598,35.5389949587459
